S.No,Fivegram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
1,Salva was the friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'VBD', 'DT', 'NN', 'IN']"
2,was the friend of Shishupala,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'DT', 'NN', 'IN', 'NNP']"
3,the friend of Shishupala and,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'NN', 'IN', 'NNP', 'CC']"
4,friend of Shishupala and he,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NN', 'IN', 'NNP', 'CC', 'PRP']"
5,of Shishupala and he had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['IN', 'NNP', 'CC', 'PRP', 'VBD']"
6,Shishupala and he had a,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['NNP', 'CC', 'PRP', 'VBD', 'DT']"
7,and he had a hatred,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['CC', 'PRP', 'VBD', 'DT', 'VBN']"
8,he had a hatred for,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['PRP', 'VBD', 'DT', 'VBN', 'IN']"
9,had a hatred for the,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['VBD', 'DT', 'VBN', 'IN', 'DT']"
10,a hatred for the Yadus,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009900990099009901,1.414973347970818,0.01400963710862196,No,"['DT', 'VBN', 'IN', 'DT', 'NNP']"
