S.No,Fourgram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
1,Salva was the friend,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'VBD', 'DT', 'NN']"
2,was the friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'DT', 'NN', 'IN']"
3,the friend of Shishupala,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NN', 'IN', 'NNP']"
4,friend of Shishupala and,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'NNP', 'CC']"
5,of Shishupala and he,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'NNP', 'CC', 'PRP']"
6,Shishupala and he had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'CC', 'PRP', 'VBD']"
7,and he had a,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['CC', 'PRP', 'VBD', 'DT']"
8,he had a hatred,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['PRP', 'VBD', 'DT', 'VBN']"
9,had a hatred for,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.2388820889151366,0.011578337279580716,No,"['VBD', 'DT', 'VBN', 'IN']"
10,a hatred for the,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'VBN', 'IN', 'DT']"
11,hatred for the Yadus,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'IN', 'DT', 'NNP']"
12,for the Yadus especially,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'DT', 'NNP', 'RB']"
13,the Yadus especially Krishna,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['DT', 'NNP', 'RB', 'NNP']"
14,Yadus especially Krishna who,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'RB', 'NNP', 'WP']"
15,especially Krishna who had,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['RB', 'NNP', 'WP', 'VBD']"
16,Krishna who had denied,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NNP', 'WP', 'VBD', 'VBN']"
17,who had denied his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['WP', 'VBD', 'VBN', 'PRP$']"
18,had denied his friend,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'VBN', 'PRP$', 'NN']"
19,denied his friend of,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['VBD', 'PRP$', 'NN', 'IN']"
20,his friend of his,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['PRP$', 'NN', 'IN', 'PRP$']"
21,friend of his prospective,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['NN', 'IN', 'PRP$', 'JJ']"
22,of his prospective bride,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['IN', 'PRP$', 'JJ', 'NN']"
23,his prospective bride Rukmini,0 0 0,"['query', 'body', 'statement', 'word']",{},0.009345794392523364,1.414973347970818,0.013224049981035681,No,"['PRP$', 'JJ', 'NN', 'NNP']"
